"nwspol","gender","age","married","urban","native","edulevel","polintr","poldeltag","paidwork"
60,1,28,0,1,1,"Lang videregående",1,3,1
30,1,49,1,1,1,"Lang videregående",1,5,1
30,0,28,1,0,1,"Kort/Mellemlang videregående",3,2,1
90,0,50,1,1,1,"Kort/Mellemlang videregående",2,3,1
90,0,78,1,0,1,"Kort/Mellemlang videregående",2,2,0
180,0,66,1,0,1,"Lang videregående",2,2,0
30,1,56,1,0,1,"Erhvervsuddannelse",2,3,1
15,1,26,0,0,1,"Erhvervsuddannelse",2,2,1
60,1,30,0,1,1,"Erhvervsuddannelse",2,3,0
3,1,52,1,0,1,"Erhvervsuddannelse",4,1,1
60,0,47,0,0,1,"Erhvervsuddannelse",3,2,1
15,0,30,1,0,1,"Kort/Mellemlang videregående",3,2,1
30,0,48,1,0,1,"Erhvervsuddannelse",3,3,1
120,1,22,0,0,1,"Erhvervsuddannelse",3,2,0
45,1,44,1,0,1,"Erhvervsuddannelse",4,1,1
120,0,84,0,1,1,"Gymnasium",2,2,0
60,0,68,1,1,1,"Erhvervsuddannelse",2,1,0
180,0,73,0,0,1,"Grundskole",1,1,0
30,1,53,1,0,1,"Lang videregående",2,4,1
40,0,48,0,0,1,"Kort/Mellemlang videregående",2,2,1
120,0,66,1,0,1,"Kort/Mellemlang videregående",2,1,0
90,0,69,1,1,0,"Erhvervsuddannelse",2,2,0
30,0,74,0,0,1,"Grundskole",3,1,0
30,1,38,1,0,1,"Kort/Mellemlang videregående",3,3,1
10,0,84,0,0,1,"Grundskole",3,2,0
60,1,80,0,0,1,"Erhvervsuddannelse",3,1,0
150,1,62,1,1,1,"Kort/Mellemlang videregående",2,3,0
60,0,64,0,0,1,"Kort/Mellemlang videregående",3,4,0
150,0,69,1,0,1,"Kort/Mellemlang videregående",2,2,0
5,0,36,0,0,1,"Erhvervsuddannelse",3,2,1
60,0,75,1,0,1,"Erhvervsuddannelse",2,2,0
45,0,24,0,0,0,"Gymnasium",2,2,0
60,0,56,1,1,1,"Lang videregående",2,2,1
15,1,17,0,0,1,"Gymnasium",2,3,1
